customer_id,gender,senior_citizen,partner,dependents,tenure_months,phone_service,multiple_lines,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,contract_type,paperless_billing,payment_method,monthly_charges,total_charges,churn_flag
7590-VHVEG,Female,f,t,f,1,f,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,t,Electronic check,29.85,29.85,f
5575-GNVDE,Male,f,f,f,34,t,No,DSL,Yes,No,Yes,No,No,No,One year,f,Mailed check,56.95,1889.50,f
3668-QPYBK,Male,f,f,f,2,t,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,t,Mailed check,53.85,108.15,t
7795-CFOCW,Male,f,f,f,45,f,No phone service,DSL,Yes,No,Yes,Yes,No,No,One year,f,Bank transfer (automatic),42.30,1840.75,f
9237-HQITU,Female,f,f,f,2,t,No,Fiber optic,No,No,No,No,No,No,Month-to-month,t,Electronic check,70.70,151.65,t
9305-CDSKC,Female,f,f,f,8,t,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,t,Electronic check,99.65,820.50,t
1452-KIOVK,Male,f,f,t,22,t,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,t,Credit card (automatic),89.10,1949.40,f
6713-OKOMC,Female,f,f,f,10,f,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,f,Mailed check,29.75,301.90,f
7892-POOKP,Female,f,t,f,28,t,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,t,Electronic check,104.80,3046.05,t
6388-TABGU,Male,f,f,t,62,t,No,DSL,Yes,Yes,No,No,No,No,One year,f,Bank transfer (automatic),56.15,3487.95,f
9763-GRSKD,Male,f,t,t,13,t,No,DSL,Yes,No,No,No,No,No,Month-to-month,t,Mailed check,49.95,587.45,f
7469-LKBCI,Male,f,f,f,16,t,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,f,Credit card (automatic),18.95,326.80,f
8091-TTVAX,Male,f,t,f,58,t,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,f,Credit card (automatic),100.35,5681.10,f
0280-XJGEX,Male,f,f,f,49,t,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,t,Bank transfer (automatic),103.70,5036.30,t
5129-JLPIS,Male,f,f,f,25,t,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,t,Electronic check,105.50,2686.05,f
3655-SNQYZ,Female,f,t,t,69,t,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,f,Credit card (automatic),113.25,7895.15,f
8191-XWSZG,Female,f,f,f,52,t,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,f,Mailed check,20.65,1022.95,f
