customer_id,gender,senior_citizen,partner,dependents,tenure_months,phone_service,multiple_lines,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,contract_type,paperless_billing,payment_method,monthly_charges,total_charges,churn_flag,charge_decile,tenure_bucket
6823-SIDFQ,Male,f,f,f,28,t,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,f,Credit card (automatic),18.25,534.70,f,1,25-48
9764-REAFF,Female,f,t,f,59,t,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,f,Bank transfer (automatic),18.40,1057.85,f,1,49+
0827-ITJPH,Male,f,f,f,36,t,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,t,Credit card (automatic),18.55,689.00,f,1,25-48
0621-CXBKL,Female,f,f,f,53,t,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,f,Mailed check,18.70,1005.70,f,1,49+
9945-PSVIP,Female,f,t,t,25,t,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,t,Mailed check,18.70,383.65,f,1,25-48
9426-SXNHE,Female,f,f,f,2,t,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,f,Bank transfer (automatic),18.75,53.15,f,1,01-06
7369-TRPFD,Male,f,f,f,19,t,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,f,Mailed check,18.80,279.20,f,1,13-24
3806-YAZOV,Female,f,f,f,3,t,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,f,Mailed check,18.80,56.00,f,1,01-06
2967-MXRAV,Male,f,t,t,1,t,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,f,Mailed check,18.80,18.80,f,1,01-06
3387-PLKUI,Female,f,t,t,13,t,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,f,Mailed check,18.80,251.25,f,1,13-24
6508-NJYRO,Male,f,t,f,15,t,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,f,Mailed check,18.80,294.95,f,1,13-24
8464-EETCQ,Male,f,f,f,57,t,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,f,Credit card (automatic),18.80,1094.35,f,1,49+
7473-ZBDSN,Female,f,t,t,14,t,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,f,Mailed check,18.80,255.55,f,1,13-24
8992-CEUEN,Female,f,f,f,1,t,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,f,Electronic check,18.85,18.85,f,1,01-06
9318-NKNFC,Male,f,f,f,1,t,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,t,Mailed check,18.85,18.85,t,1,01-06
3572-UUHRS,Male,f,f,f,45,t,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,f,Bank transfer (automatic),18.85,867.30,f,1,25-48
